timestamp_utc,timestamp_epoch,event_type,src,sport,dst,dport,protocol,summary,details
2024-07-30T17:54:37.913756+00:00,1722362077.913756,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/login HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:54:37.913756+00:00,1722362077.913756,finding,10.0.2.2,,,,C2,High confidence: Nimplant HTTP C2,Nimplant-like login response returned JSON fields `id` and `k`; Implant ID: gxksd3v7; Obfuscated key (base64): opO2j7SMi7iSsoqVh5uZpA==
2024-07-30T17:54:37.914454+00:00,1722362077.914454,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=49
2024-07-30T17:54:37.931719+00:00,1722362077.931719,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,POST /api/v2/login HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0; content-type=application/json; content-length=195
2024-07-30T17:54:37.947973+00:00,1722362077.947973,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:54:47.970672+00:00,1722362087.970672,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:54:47.970672+00:00,1722362087.970672,finding,10.0.2.2,,,,C2,High confidence: Generic HTTP beaconing,19 repeated GET requests to the same endpoint; Fixed sleep interval: ~10s (jitter ratio 0.00); Destination: 10.0.2.15:4444 host=192.168.1.34:4444 uri=/api/v2/ping
2024-07-30T17:54:47.990420+00:00,1722362087.990420,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=16
2024-07-30T17:54:58.010901+00:00,1722362098.010901,http_request,10.0.2.2,61395,10.0.2.15,4444,HTTP,GET /api/v2/ping HTTP/1.1,host=192.168.1.34:4444; user-agent=Mozilla/5.0 (X11; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
2024-07-30T17:54:58.015600+00:00,1722362098.015600,http_response,10.0.2.15,4444,10.0.2.2,61395,HTTP,HTTP/1.1 200 OK,content-type=application/json; content-length=81
